Student,Gender,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21
219,female,9.566699667,9.666636667,8.983366667,7.800003333,10.18333667,9.716666667,8.783333333,7.26663,7.5333,6.583266667,9.550033667,9.116633333,8.7833,7.43333,8.7667,8.566700333,6.916666667,7.149963333,6.799967,10.66633333,11.33296667
220,female,5.6663,7.1667,4.666633333,2,1.499966667,1.5833,5.249966667,5.683333333,-0.500033333,6.250033333,7.333366667,5.25,5.6667,5.250033333,8.25,2.749966667,4.9167,8.166666667,4.75,5.3333,3.1667
221,male,6.583333333,7.166666667,6.833333333,6.916666667,7.75,7.666666667,7.916666667,7.833333333,7.5,7.166666667,7.333333333,7.916666667,6.333333333,7.75,8.333333333,7.833333333,8,7.666666667,7,8.083333333,7.75
222,female,7,8.916666667,11.73333333,6.916666667,8.75,9.166666667,7.666666667,11,7.16667,12.83333333,12.99966667,8.983333333,11.48333333,8.5,9.5,10.45,11.91666667,12.5,7.983333333,7.983333333,5.166666667
223,female,6.333333333,6.916666667,6.916666667,6.416666667,8.916666667,8.333333333,8.333333333,5.333333333,6.75,8.416666667,8.416666667,7.666666667,6.166666667,7.333333333,5.333333333,7.166666667,4.833333333,8.833333333,5.833333333,6.833333333,7.833333333
224,male,5.25,6,7.5,6.5,8,8,6,6.5,6.25,7,6.5,10.5,8.5,6,6.5,6.5,7.5,5.5,6.5,8.5,6
225,male,9.916666667,8.583333333,9.633333333,10.16666667,9.866666667,8.75,8.5,8.416666667,9.083333333,10.41666667,10.83333333,8.666666667,9.75,8.416666667,8.166666667,8.433333333,9.616666667,9.683333333,9.216666667,8.866666667,8.75
226,female,6,6,9,7.333333333,7,8.666666667,8,6,6,9.25,6,6,6,6,6.583333333,6,9,6,8,8,7
227,female,8.9333,7.7667,4.366666667,7.750033333,7.300066667,3.8667,7.383333333,7.033333333,3.1,8.400033333,7.200066667,3.75,8.9167,7.666733333,4.299966667,6.783333333,5,3.383333333,7.100033333,7.5166,4.4167
228,male,6.333333333,7.583333333,4.75,12,5.8333,5.999996667,6.833333333,5.5,5.5833,9,9.833333333,3.666666667,6.5,7,5.583333333,6.166666667,5.5,4.333333333,5.916663333,5.916666667,4.083333333
229,female,4.75,7,8.4167,8.75,5.333333333,5.75,4,7.916333333,4.25,7.5,6.25,5,6.5,3.25,8.5,4,5.833333333,6.25,5,5,-1.166666667
230,female,8.083333333,9.25,8.416666667,9.25,6.750003333,8,7.83333,8.5,8.666666667,9.5,8.333333333,6.083336667,6,7.75,8.833333333,7.75,8.75,8,7.916666667,8.416666667,8.5
231,male,5.366633333,5.166633333,6.950036667,5.833296667,2.8667,6.083266667,5.9666,5.8167,7,4.233266667,6.133366667,5.0833,5.0667,6.666666667,5.799966667,5.299933333,5.400066667,5.5167,4.216633333,4.1834,5.1
232,female,9.166666667,8.45,8.149666667,9.283,9.933333333,9.799966667,20.41666667,9.7837,9.2833,7.466666667,8.916633333,8.883366667,9.75,8.666666667,7.95,8.783,9.95,10.96666667,11.00000333,9.516666667,4.916666667
233,male,4.816666667,6.8167,6.4667,3.316633333,5.983333333,4.133333333,5.216666667,5.233333333,5.966666667,5.800066667,7.316633333,7.649666667,9.316633333,7.316666667,5.9833,5.9,6.816633333,7.316633333,6.4833,6.066666667,10.31666667
234,female,10.41666667,5.333366667,10.5,11.667,8.166703333,8.499933333,6.916663333,10.00000333,5.3334,8.5,9.750003333,6.833333333,7,9.500333333,7.583366667,6.5833,7.999966667,8.8333,5.5,10.75,4.749966667
235,male,7.466666667,10.41666667,7.95,9.966666667,9,9.333333333,6.883333333,8.916666667,11.4,10.96666667,8.917,5.333333333,9.916666667,6.95,6.833333333,10.41666667,6.95,10.75,6.966666667,9.483333333,8.916666667
236,male,6.5,6.6666,8,6.5,5,5.5,5.1667,6.3333,8,7.75,7.6667,6.8333,5.9166,7,6.6667,7.6667,7.58333,7.66667,6.5,6.16667,7.5
237,female,8.916666667,7.833333333,10,9,7.416666667,9.166666667,9,9.000003333,9.41667,7,6.583333333,7.633333333,6.533333333,5.999996667,8.25,7.883366667,9.199996667,10.53333333,7.25,5.81667,7
238,female,7.75,7.25,7.5,6.083333333,8.333333333,7.333333333,7.0833,6.55,7.833333333,5.916666667,6.916666667,5.45,8.833333333,9.366666667,8.366666667,8.916666667,6.333333333,7.466666667,10.65,6.883333333,7.833333333
239,female,1.916633333,2.199666667,23.30033333,5.966966667,2.050333333,23.733,5.25,22.333,3.716333333,3.616333333,22.05,1.234,1.683366667,1.2497,1.2497,4.017033333,1.066333333,0.049966667,-0.5,4.633666667,0.499666667
240,female,6,6.366666667,9.016666667,7.016333333,5.433336667,6.666666667,6.133333333,5.683336667,5.916663333,7.016666667,6.149966667,7.849966667,6.750033667,5.9833,7.55,7.45,7.333333333,3.150033333,7.816633333,9.55,5.916666667
241,female,7.24997,7.650033333,6.766633333,5.383303333,9.699966667,5.449963333,6,1.666633333,4.5,11.24967,11.33366667,9.332996667,8.916666667,5.1666,8.966633333,10.16663333,7.6333,10.61666667,9.49967,6.499996667,10.90006667
242,male,6.8,7.166663333,12.3,7.716666667,8.716666667,7.666666667,9.633333333,7.7,10.49996667,10.08333333,11.16666667,9.766666667,10.75,11.83333333,8.466633333,7.166666667,9.16667,11.44996667,11.7,10.05,11.6
243,male,9.166666667,8.05,8.966666667,3.583333333,7.583333333,8.166633333,7.750033333,5.833333333,9.55,7.833333333,6.1,7.616666667,6.083366667,5.766966667,8.417,8.799966667,8.5333,4.583333333,6.8333,8.516633333,6.616333333
